"Product Name",Currency,profit_zone
"WWI Desktop PC2.33 X2330 Black",USD,202177.08
"Adventure Works Desktop PC2.33 XD233 White",USD,176242.4
"Adventure Works Desktop PC2.33 XD233 Black",USD,173002.65
"WWI Desktop PC2.33 X2330 White",USD,159160.68
"Adventure Works Desktop PC2.33 XD233 Brown",USD,155508
"Adventure Works Desktop PC2.33 XD233 Silver",USD,153564.15
"WWI Desktop PC2.33 X2330 Silver",USD,143797.68
"Adventure Works 52" LCD HDTV X590 White",USD,135741.9
"Adventure Works 52" LCD HDTV X590 Black",USD,133802.73
"WWI Desktop PC2.33 X2330 Brown",USD,129049.2
"Adventure Works 52" LCD HDTV X590 Brown",USD,112471.86
"Adventure Works 52" LCD HDTV X590 Silver",EUR,102583.84
"Adventure Works Desktop PC2.30 MD230 White",USD,100297.4
"Fabrikam Refrigerator 24.7CuFt X9800 Grey",USD,87730.57
"Contoso Water Heater 7.2GPM X1800 White",USD,82849.2
"Adventure Works 52" LCD HDTV X790W Silver",USD,81979.59
"Adventure Works Desktop PC2.30 MD230 Silver",USD,78943.76
"WWI Desktop PC2.30 M2300 Silver",USD,77296.64
"Adventure Works Desktop PC2.30 MD230 Black",USD,75708.36
"Contoso Projector 1080p X981 Silver",USD,73525.32
"Contoso Water Heater 7.2GPM X1800 Red",USD,72986.2
"WWI Desktop PC2.30 M2300 White",USD,72163.66
"Adventure Works 52" LCD HDTV X590 Silver",USD,71749.29
"Adventure Works 52" LCD HDTV X790W Brown",USD,71332.89
"Adventure Works 52" LCD HDTV X590 White",EUR,68092.6
"Proseware Projector 1080p LCD86 Black",USD,67523.28
"WWI Desktop PC2.30 M2300 Brown",USD,67030.68
"Contoso Projector 1080p X981 Black",USD,66841.2
"Proseware Projector 1080p DLP86 Black",USD,66841.2
"Adventure Works Desktop PC3.0 MS300 Silver",USD,65609.88
"WWI Projector 1080p DLP86 Silver",USD,65170.17
"Contoso Water Heater 7.2GPM X1800 Silver",USD,65095.8
"Contoso Water Heater 7.2GPM X1800 Green",USD,65095.8
"Fabrikam Refrigerator 24.7CuFt X9800 White",USD,64193.1
"Adventure Works Desktop PC2.30 MD230 Brown",USD,63833.91
"WWI Desktop PC2.33 X2330 Black",EUR,63416.51
"Adventure Works Desktop PC3.0 MS300 Black",USD,62316.72
"Adventure Works Desktop PC1.80 ED182 Brown",USD,62240.16
"Adventure Works Desktop PC2.33 XD233 Silver",EUR,60836.61
"Adventure Works Desktop PC1.80 ED182 Silver",USD,60524.88
"WWI Projector 1080p LCD86 White",USD,59850.18
"Contoso Projector 1080p X980 Silver",USD,59850.18
"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey",USD,59458.98
"WWI Projector 1080p DLP86 White",USD,58486.05
"WWI Desktop PC2.33 X2330 Brown",EUR,58364.87
"WWI Desktop PC2.30 M2300 Black",USD,55858.9
"Adventure Works Desktop PC2.33 XD233 Brown",EUR,55810.38
"Adventure Works 52" LCD HDTV X790W White",USD,55362.84
"WWI Desktop PC2.33 X2330 White",EUR,54443.63
"Adventure Works Desktop PC1.80 ED180 Black",USD,53175.78
